"ID","BASE","KTR","SLOPE","GAMMA"
"190",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"191",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"192",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"193",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"194",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"195",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"196",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"197",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"198",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"199",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"200",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"201",2.5,0.196109399527924,0.299999999999998,0.800000000000001
"202",2.5,0.196109399527924,0.299999999999998,0.800000000000001
